5233474,5233547,4558404,4558477,0.894737,5233518,4558448,30
5233469,5233555,4302807,4302893,0.886364,5233515,4302853,41
5233517,5233555,2911292,2911330,0.883721,5233517,2911292,39
5215907,5216054,4722969,4723113,0.826667,5215960,4723021,35
5215663,5215995,3875608,3875940,0.879093,5215958,3875903,38
5215764,5216068,3875608,3875912,0.889610,5215958,3875802,66
5215865,5216068,3875608,3875811,0.888350,5215958,3875701,66
5215581,5215894,3875627,3875940,0.892562,5215857,3875903,38
5215663,5215994,3875608,3875939,0.895522,5215857,3875802,66
5215764,5216068,3875608,3875912,0.889610,5215857,3875701,66
5215581,5215792,3875728,3875939,0.892265,5215756,3875903,37
5215581,5215893,3875627,3875939,0.895570,5215756,3875802,66
5215663,5215994,3875608,3875939,0.895522,5215756,3875701,66
5215581,5215692,3875829,3875940,0.892361,5215655,3875903,38
5215581,5215791,3875728,3875938,0.896714,5215655,3875802,66
5215581,5215893,3875627,3875939,0.895570,5215655,3875701,66
5207964,5215764,4904831,4912631,0.964165,5215619,4912486,146
5229474,5229512,4927271,4927309,0.964059,5229474,4927271,39
5215858,5215953,278684,278777,0.964806,5215858,278684,40
5207916,5207953,3884874,3884911,0.964539,5207916,3884874,38
5215578,5215663,4912546,4912631,0.964373,5215578,4912546,86
5215959,5215995,1125528,1125564,0.964663,5215959,1125528,37
5233473,5233554,2580089,2580174,0.841379,5233519,2580139,36
5207859,5207950,4697292,4697376,0.794521,5207859,4697292,37
5197590,5197627,3265900,3265938,0.824176,5197590,3265900,35
5197221,5207850,4894183,4904818,0.969258,5197251,4894216,5628
5207346,5207436,4904549,4904639,0.969216,5207346,4904549,91
5233464,5233556,853156,853242,0.804688,5233464,853156,46
5229187,5229225,4450797,4450835,0.801653,5229187,4450797,39
5215657,5215693,4645484,4645520,0.781513,5215657,4645484,37
5229193,5229223,1136809,1136839,0.778761,5229193,1136809,31
5215656,5215789,275951,276083,0.831522,5215719,276013,71
5172411,5172698,2307726,2308013,0.748130,5172411,2307726,288
5172873,5172924,2308185,2308236,0.836364,5172873,2308185,52
5215683,5215792,2377354,2377455,0.798742,5215756,2377419,37
5215602,5215915,279372,279680,0.820189,5215720,279488,75
5144904,5146325,354400,355823,0.913347,5145096,354595,1219
5147818,5150131,357022,359341,0.915094,5148724,357934,1408
5207806,5207951,3875804,3875940,0.925542,5207806,3875804,35
5207912,5207950,4521625,4521663,0.926761,5207912,4521625,39
5138886,5140063,3162352,3163525,0.917090,5139298,3162766,662
5168725,5168764,2353994,2354033,0.876786,5168725,2353994,40
5119734,5120054,4757527,4757847,0.818074,5119734,4757527,321
5215855,5215893,4092296,4092334,0.874776,5215855,4092296,39
5146441,5147437,4832963,4833947,0.862725,5146584,4833096,836
5097064,5097406,341738,342079,0.868132,5097336,342009,71
